1 (378.2164583333335,278.6326250000002) 75 42
2 (352.93420333333347,278.4688333333338) 10 32
3 (319.36533666666685,271.3039166666672) 73 22
4 (306.58625,271.3039166666672) 71 7
5 (364.3360833333335,256.0593750000005) 17 49
6 (346.9528333333335,290.0311250000005) 85 63
7 (332.35320666666684,265.03141666666716) 81 56
8 (326.37395666666686,272.940916666667) 77 0
9 (359.4344183333333,293.23758333333365) 63 21
10 (340.21995833333335,292.5708333333338) 84 45
11 (383.71883333333335,275.9078750000005) 42 0
12 (330.55104166666683,245.729291666667) 89 46
13 (331.7285416666667,252.3623750000005) 89 33
14 (340.73524666666685,268.80407833333385) 1 38
15 (311.86666,245.52262500000035) 91 11
16 (332.44745666666665,268.9601250000005) 82 0
17 (383.71883333333335,284.535454175657) 74 0
18 (330.67520833333333,254.92620833333382) 89 48
19 (353.58125,260.58841000000115) 60 24
20 (344.49579166666666,292.5708333333338) 85 47
21 (317.3003366666667,271.3039166666672) 73 54
22 (351.5162500000002,253.91020833333383) 36 37
23 (334.3874583333333,290.0311250000005) 86 28
24 (322.227125,292.57083333333367) 87 26
25 (352.4379166666668,263.89558333333383) 60 35
26 (363.20025000000015,260.58841000000115) 61 49
27 (358.29251,243.5437300000005) 36 53
28 (360.5964583333335,278.11012500000015) 44 50
29 (357.3633433333333,255.13020833333383) 24 36
30 (331.7285416666667,247.57345833333383) 89 9
31 (341.4707916666667,277.6728750000005) 2 23
32 (343.16245833333335,300.0) 47 0
33 (300.50333333333333,261.750910000001) 20 0
34 (332.44745666666665,267.40535416666717) 82 0
35 (326.99279500000017,265.03141666666716) 76 56
36 (309.6383266666667,245.729291666667) 91 29
37 (346.55079166666667,263.89558333333383) 60 16
38 (332.95661166666684,292.57083333333367) 86 52
39 (344.8204166666668,277.29133333333385) 2 32
40 (353.08554,293.23758333333365) 63 93
41 (383.71883333333335,261.75091000000117) 68 0
42 (378.5650833333335,261.5175766666678) 68 62
43 (364.3360833333335,250.77004166666717) 17 30
44 (305.65708333333333,261.51757666666765) 58 20
45 (321.009625,279.677541666667) 73 34
46 (332.40579,271.4309583333338) 82 0
47 (374.8707516666668,293.2375833333338) 67 4
48 (321.009625,288.980291666667) 70 8
49 (373.65960333333334,290.52854166666697) 67 55
50 (330.55104166666666,260.588410000001) 56 48
51 (340.73524666666685,266.73907833333385) 1 27
52 (357.68479166666685,275.3976250000002) 44 32
53 (360.5314583333335,271.09762500000016) 43 51
54 (380.8881250000002,271.10262500000016) 69 42
55 (369.6514583333335,264.10262500000016) 62 43
56 (340.52812500000016,274.50429166666686) 1 31
57 (338.7714583333335,276.6209583333335) 31 23
58 (338.7714583333335,272.3876250000002) 31 38
59 (308.006455,260.588410000001) 91 58
60 (357.9782916666667,263.89558333333383) 61 51
61 (351.51625,260.58841000000115) 60 37
62 (321.009625,284.32891666666694) 73 3
63 (300.0,280.54476166666717) 71 0
64 (372.6424183333335,293.2375833333338) 67 25
65 (349.1253333333335,263.89558333333383) 60 19
66 (350.60587000000015,278.4688333333338) 13 32
67 (371.3646033333335,290.52854166666697) 67 50
68 (336.61579166666667,290.0311250000005) 84 12
69 (377.54937500000017,291.8830625000005) 67 14
70 (368.5538781011497,249.9258750000005) 5 17
71 (361.6627516666667,293.2375833333338) 66 15
72 (328.04406,292.57083333333367) 86 92
73 (365.5780447678163,249.9258750000005) 6 17
74 (326.33229000000017,270.5902350000002) 77 0
75 (314.63675,242.69845833333366) 88 39
76 (337.01479166666684,274.50429166666686) 83 31
77 (380.0506250000002,288.9259583333335) 74 14
78 (378.01562500000017,288.7726250000001) 74 55
79 (372.7147916666668,281.13679166666685) 75 50
80 (378.2164583333335,278.83929166666684) 75 42
81 (343.14562500000017,276.9634583333335) 1 2
82 (349.8339583333335,267.37262500000014) 18 19
83 (303.3331250000001,263.0392916666668) 20 40
84 (375.63979166666684,271.3092916666668) 41 42
85 (372.7147916666668,267.7059583333335) 41 43
86 (372.7147916666668,274.4267916666668) 42 43
87 (360.7381250000002,274.93512500000014) 43 44
88 (326.9931250000002,262.2417916666668) 56 57
89 (332.35312500000015,262.2417916666668) 56 59
90 (316.3247916666668,262.2417916666668) 57 58
91 (343.90604166666685,262.2417916666668) 59 60
92 (355.4589583333335,262.2417916666668) 60 61
93 (367.01187500000015,262.2417916666668) 61 62
94 (359.7481250000002,285.06512500000014) 63 64
95 (359.7481250000002,288.84595833333344) 63 65
96 (359.7481250000002,291.88345833333346) 63 66
97 (360.1206250000002,290.5292916666668) 65 66
98 (368.6489583333335,291.88345833333346) 66 67
99 (380.8881250000002,263.1059583333335) 68 69
100 (306.0356250000001,286.64095833333346) 70 71
101 (316.0006250000001,286.64095833333346) 70 73
102 (310.9914583333334,278.97262500000016) 71 73
103 (312.2614583333334,271.3042916666668) 72 73
104 (378.6881250000002,281.13679166666685) 74 75
105 (325.5164583333335,266.6426250000002) 76 77
106 (324.2464583333335,270.6717916666668) 77 78
107 (324.2464583333335,272.7934583333335) 77 79
108 (322.4697916666668,271.71762500000017) 79 80
109 (333.7531250000002,266.6426250000002) 81 82
110 (334.2822916666668,272.29262500000016) 82 83
111 (341.2764583333335,291.3009583333335) 84 85
112 (334.5897916666668,291.3009583333335) 84 86
113 (327.90312500000016,291.3009583333335) 86 87
114 (317.5814583333335,245.72929166666682) 88 89
115 (319.65562500000016,254.92595833333348) 89 90
116 (314.6364583333334,250.32762500000018) 89 91
117 (314.6364583333334,257.6534583333335) 90 91
118 (380.8881250000002,267.1042916666668) 69 110
119 (303.3331250000001,267.0684583333335) 40 109
120 (322.4418800000002,283.113041666667) 143 115
121 (323.3710466666668,293.6982500000005) 127 103
122 (353.42713,268.885916666667) 141 113
123 (305.65708333333333,261.4383750000005) 137 109
124 (374.28222500000015,263.9323333333338) 136 119
125 (378.5650833333335,261.99358333333385) 136 110
126 (344.29100500000015,272.8231033333337) 122 112
127 (344.291005,292.5624166666671) 125 101
128 (340.74015166666686,259.159541666667) 134 105
129 (354.99975,259.15954166666717) 135 100
130 (321.3060466666668,277.40251333333384) 143 149
131 (341.2432966666668,277.75758333333386) 124 114
132 (326.3375466666668,272.76379166666715) 94 0
133 (328.55075000000016,259.159541666667) 134 120
134 (330.61575000000016,259.159541666667) 134 116
135 (377.5356666666668,263.9323333333338) 136 131
136 (333.2961633333335,272.7504850000005) 147 0
137 (341.2432966666668,285.9861200000005) 125 106
138 (335.0753300000002,268.6792500000003) 139 147
139 (358.68462999999986,283.2400800000003) 129 99
140 (319.8630833333335,259.159541666667) 134 148
141 (326.3792133333335,275.3595000000003) 94 0
142 (344.29100500000015,269.8150833333337) 123 96
143 (342.8051516666668,259.159541666667) 134 102
144 (356.14463,283.65117666666714) 129 98
145 (344.291005,286.25475000000046) 125 107
146 (356.14463,281.58617666666714) 129 104
147 (323.3710466666668,268.6792500000003) 139 94
148 (370.77791666666684,263.9323333333338) 136 95
149 (322.2352133333335,281.0480416666672) 143 121
150 (317.7980833333335,259.159541666667) 134 111
151 (333.33783000000017,275.1654850000005) 147 0
152 (334.358005,293.6982500000005) 127 108
153 (358.68462999999986,276.5934133333337) 128 117
154 (341.2432966666668,283.9211200000005) 124 97
155 (352.93475,259.15954166666717) 135 118
156 (357.4147916666668,287.28762500000016) 146 129
157 (374.3339583333335,282.3109583333335) 145 132
158 (356.0414583333335,296.84845833333344) 146 126
159 (342.5131250000002,272.1809583333335) 122 123
160 (342.76729166666684,276.6209583333335) 122 124
161 (342.76729166666684,285.10762500000016) 124 125
162 (339.18979166666685,296.84845833333344) 126 127
163 (357.4147916666668,277.9834583333335) 128 129
164 (375.41812500000015,270.09512500000017) 130 131
165 (373.9047916666668,271.3042916666668) 130 132
166 (372.3914583333335,270.6859583333335) 130 133
167 (376.9914583333335,271.3042916666668) 131 132
168 (372.3914583333335,276.70429166666685) 132 133
169 (344.90812500000015,249.69012500000017) 134 135
170 (360.26979166666683,249.69012500000017) 135 136
171 (310.75979166666673,267.40929166666683) 137 138
172 (323.13729166666684,267.40929166666683) 138 139
173 (335.51479166666684,267.40929166666683) 139 140
174 (347.89229166666684,267.40929166666683) 140 141
175 (360.26979166666683,267.40929166666683) 141 142
176 (305.6314583333334,277.40262500000017) 143 144
177 (364.94979166666684,293.69512500000013) 145 146
